# from https://arxiv.org/pdf/1310.7031.pdf
# order is k, dimensionless power spectrum in mK, SNR for optimistic fg removal
0.1200686797459033, 20, 93.9
0.17971423755954483, 26.261682242990652, 66.5
0.24035623757419344, 27.38317757009346, 41.6
0.30103366862992165, 27.663551401869157, 27.1
0.3614471515146042, 27.570093457943923, 18.3
0.4199696657521708, 27.570093457943923, 12.7
0.4800237541461806, 27.196261682242987, 8.9
0.54354338650227, 26.82242990654205, 6.4
0.5997967018215697, 26.44859813084112, 4.7
0.6603217474190417, 25.98130841121495, 3.6
0.7201679810366308, 25.560747663551403, 2.7
0.7817634401591327, 25.42056074766355, 2.2
0.8426785018160683, 25.327102803738313, 1.0
0.8998604257649458, 25.280373831775698, 1.0
0.9609225631278934, 25.186915887850464, 1.0
